,SOURCE,TARGET,VOTE,RESULT
0,Steel1943,BDD,1,1
1,Cuchullain,BDD,1,1
2,INeverCry,BDD,1,1
3,Cncmaster,BDD,1,1
4,Miniapolis,BDD,1,1
5,Sven Manguard,BDD,1,1
6,Ramaksoud2000,BDD,1,1
7,RockMagnetist,BDD,1,1
8,Carrite,BDD,1,1
9,Someguy1221,BDD,1,1
10,Secret,BDD,1,1
11,Dennis Brown,BDD,1,1
12,MJ94,BDD,1,1
13,King of Hearts,BDD,1,1
14,Go Phightins!,BDD,1,1
15,Hahc21,BDD,1,1
16,TBrandley,BDD,1,1
17,Mazca,BDD,1,1
18,Pratyya Ghosh,BDD,1,1
19,Film at 11,BDD,1,1
20,Nyttend,BDD,1,1
21,SlimVirgin,BDD,1,1
22,Ducknish,BDD,1,1
23,Bluerasberry,BDD,1,1
24,DanielTom,BDD,1,1
25,RightCowLeftCoast,BDD,1,1
26,Boing! said Zebedee,BDD,1,1
27,Shadowjams,BDD,1,1
28,Tolly4bolly,BDD,1,1
29,NintendoFan,BDD,1,1
30,Newyorkbrad,BDD,1,1
31,Camyoung54,BDD,1,1
32,MrX,BDD,1,1
33,Wikiwind,BDD,1,1
34,Marcus Qwertyus,BDD,1,1
35,Dirtlawyer1,BDD,1,1
36,Soap,BDD,1,1
37,HMSSolent,BDD,1,1
38,Chris.urs-o,BDD,1,1
39,Pol430,BDD,1,1
40,Peridon,BDD,1,1
41,Stalwart111,BDD,1,1
42,Wizardman,BDD,1,1
43,Danger,BDD,1,1
44,AutomaticStrikeout,BDD,1,1
45,Rzuwig,BDD,1,1
46,069952497a,BDD,1,1
47,WJBscribe,BDD,1,1
48,EdJohnston,BDD,1,1
49,Dainomite,BDD,1,1
50,Tucoxn,BDD,1,1
51,LlamaAl,BDD,1,1
52,Kurtis,BDD,1,1
53,Inks.LWC,BDD,1,1
54,Widr,BDD,1,1
55,In ictu oculi,BDD,1,1
56,Thumperward,BDD,1,1
57,Brookie,BDD,1,1
58,Kierzek,BDD,1,1
59,WereSpielChequers,BDD,1,1
60,Ret.Prof,BDD,1,1
61,Ultraexactzz,BDD,1,1
62,Kraxler,BDD,1,1
63,Stillnotelf,BDD,1,1
64,Orlady,BDD,1,1
65,KumiokoCleanStart,BDD,1,1
66,PhilKnight,BDD,1,1
67,Ronhjones,BDD,1,1
68,Ignatzmice,BDD,1,1
69,MelanieN,BDD,1,1
70,Rivertorch,BDD,1,1
71,Kaldari,BDD,1,1
72,Scott Martin,BDD,1,1
73,Pharaoh of the Wizards,BDD,1,1
74,Deli nk,BDD,1,1
75,Mr. Stradivarius,BDD,1,1
76,Useight's Public Sock,BDD,1,1
77,CaSJer,BDD,1,1
78,RP459,BDD,1,1
79,Favonian,BDD,1,1
80,Monterey Bay,BDD,1,1
81,Minimac,BDD,1,1
82,Angelo1345,BDD,1,1
83,Gilderien,BDD,1,1
84,Pedro,BDD,1,1
85,Deb,BDD,1,1
86,Technical 13,BDD,1,1
87,Nick,BDD,1,1
88,Amorymeltzer,BDD,1,1
89,Lenticel,BDD,1,1
90,Tiggerjay,BDD,1,1
91,Doctree,BDD,1,1
92,SarekOfVulcan,BDD,1,1
93,Sparklism,BDD,1,1
94,Northamerica1000,BDD,1,1
95,Hut 8.5,BDD,1,1
96,MONGO,BDD,1,1
97,Adjwilley,BDD,1,1
98,Snow Blizzard,BDD,1,1
99,Mkdw,BDD,1,1
100,Trusilver,BDD,1,1
101,RegentsPark,BDD,1,1
102,Mediran,BDD,1,1
103,Kudpung,BDD,1,1
104,The Transhumanist,BDD,1,1
105,Bloom6132,BDD,1,1
106,SmokeyJoe,BDD,1,1
107,Yintan,BDD,1,1
108,Piotrus,BDD,1,1
109,Erik,BDD,1,1
110,GiantSnowman,BDD,1,1
111,Reaper Eternal,BDD,1,1
112,Tryptofish,BDD,1,1
113,Salvidrim,BDD,1,1
114,Dwaipayanc,BDD,1,1
115,78.26,BDD,1,1
116,Dru of Id,BDD,1,1
117,Strike Eagle,BDD,1,1
118,Apteva,BDD,1,1
119,Malleus Fatuorum,BDD,-1,1
120,S Marshall,BDD,-1,1
121,Colonel Warden,BDD,-1,1
122,Jusdafax,BDD,-1,1
123,Hobit,BDD,-1,1
124,DGG,BDD,-1,1
125,Buggie111,BDD,-1,1
126,John,BDD,-1,1
127,Ihardlythinkso,BDD,-1,1
128,Intothatdarkness,BDD,-1,1
129,Razionale,BDD,-1,1
130,Kauffner,BDD,-1,1
131,Vodello,BDD,-1,1
132,Kiefer.Wolfowitz,BDD,-1,1
133,Jebus989,BDD,0,1
